group,name,bbox_left,bbox_top,bbox_right,bbox_bottom,area_px,file
layer7_fruits,fruit_01,1585,1603,1880,1890,56084,layer7_fruits/fruit_01.png
layer7_fruits,fruit_02,2454,1521,2746,1790,59574,layer7_fruits/fruit_02.png
layer7_fruits,fruit_03,899,1851,1143,2103,44804,layer7_fruits/fruit_03.png
layer7_fruits,fruit_04,2316,1933,2638,2250,62972,layer7_fruits/fruit_04.png
layer7_fruits,fruit_05,1427,2213,1686,2480,46480,layer7_fruits/fruit_05.png
layer7_fruits,fruit_06,1269,2266,1542,2570,57458,layer7_fruits/fruit_06.png
layer7_fruits,fruit_07,3060,2308,3296,2585,38912,layer7_fruits/fruit_07.png
layer7_fruits,fruit_08,916,2659,1119,2922,36016,layer7_fruits/fruit_08.png
layer7_fruits,fruit_09,1707,2591,2046,2930,74690,layer7_fruits/fruit_09.png
layer7_fruits,fruit_10,2405,2582,2656,2934,60065,layer7_fruits/fruit_10.png
layer7_fruits,fruit_11,2573,2723,2832,2989,45226,layer7_fruits/fruit_11.png
layer4_bush,bush_chunk_01,1505,1140,2541,1975,585661,layer4_bush/bush_chunk_01.png
layer4_bush,bush_chunk_02,2470,1139,3518,2107,544478,layer4_bush/bush_chunk_02.png
layer4_bush,bush_chunk_03,697,1275,1527,2032,330384,layer4_bush/bush_chunk_03.png
layer4_bush,bush_chunk_04,455,1982,1508,3124,875794,layer4_bush/bush_chunk_04.png
layer4_bush,bush_chunk_05,1418,1905,2565,3131,1156913,layer4_bush/bush_chunk_05.png
layer4_bush,bush_chunk_06,2329,2107,3561,3242,1053194,layer4_bush/bush_chunk_06.png
