group,name,role,bbox_left,bbox_top,bbox_right,bbox_bottom,area_px,cropped,full_canvas
main,stardust_puffy_lion_upper_leaf_left,upper_leaf_left,292,287,2848,2462,682434,main_pieces/cropped/stardust_puffy_lion_upper_leaf_left.png,main_pieces/full_canvas/stardust_puffy_lion_upper_leaf_left.png
main,stardust_puffy_lion_lower_leaf_left,lower_leaf_left,77,2451,2068,4096,1244866,main_pieces/cropped/stardust_puffy_lion_lower_leaf_left.png,main_pieces/full_canvas/stardust_puffy_lion_lower_leaf_left.png
main,stardust_puffy_lion_leaf_mid_center,leaf_mid_center,1875,2071,2557,4048,440988,main_pieces/cropped/stardust_puffy_lion_leaf_mid_center.png,main_pieces/full_canvas/stardust_puffy_lion_leaf_mid_center.png
main,stardust_puffy_lion_leaf_right_tall,leaf_right_tall,2284,1347,3669,3695,564560,main_pieces/cropped/stardust_puffy_lion_leaf_right_tall.png,main_pieces/full_canvas/stardust_puffy_lion_leaf_right_tall.png
main,stardust_puffy_lion_leaf_lower_right,leaf_lower_right,2062,3235,3349,4096,387659,main_pieces/cropped/stardust_puffy_lion_leaf_lower_right.png,main_pieces/full_canvas/stardust_puffy_lion_leaf_lower_right.png
main,stardust_puffy_lion_stem_cluster,stem_cluster,1044,2014,1875,3730,347551,main_pieces/cropped/stardust_puffy_lion_stem_cluster.png,main_pieces/full_canvas/stardust_puffy_lion_stem_cluster.png
main,stardust_puffy_lion_flower_head,flower_head,1270,571,2843,2075,987834,main_pieces/cropped/stardust_puffy_lion_flower_head.png,main_pieces/full_canvas/stardust_puffy_lion_flower_head.png
background,stardust_puffy_lion_bg_left_far,bg_left_far,0,1814,960,4096,313557,background_pieces/cropped/stardust_puffy_lion_bg_left_far.png,background_pieces/full_canvas/stardust_puffy_lion_bg_left_far.png
background,stardust_puffy_lion_bg_left_mid,bg_left_mid,216,734,1920,2101,457582,background_pieces/cropped/stardust_puffy_lion_bg_left_mid.png,background_pieces/full_canvas/stardust_puffy_lion_bg_left_mid.png
background,stardust_puffy_lion_bg_center_left,bg_center_left,785,1742,2101,3529,612579,background_pieces/cropped/stardust_puffy_lion_bg_center_left.png,background_pieces/full_canvas/stardust_puffy_lion_bg_center_left.png
background,stardust_puffy_lion_bg_center,bg_center,491,2600,2709,4096,1553506,background_pieces/cropped/stardust_puffy_lion_bg_center.png,background_pieces/full_canvas/stardust_puffy_lion_bg_center.png
background,stardust_puffy_lion_bg_right_mid,bg_right_mid,2101,1347,3521,3143,336255,background_pieces/cropped/stardust_puffy_lion_bg_right_mid.png,background_pieces/full_canvas/stardust_puffy_lion_bg_right_mid.png
background,stardust_puffy_lion_bg_right_far,bg_right_far,2608,2231,3592,4093,294814,background_pieces/cropped/stardust_puffy_lion_bg_right_far.png,background_pieces/full_canvas/stardust_puffy_lion_bg_right_far.png
